# МАНИФЕСТ НАБОРА ПОДДЕЛОК — объявленный руками список, а не приставка в имени.
#
# Решение ADR-0023 «Подделки живут отдельным набором, а не в корпусе метрики»,
# шаг Ш1. До него подделку опознавали ТРИ несовпадающих правила: регулярное
# выражение по имени файла в corpus-share.sh, список PUSTO_V_CHISLITELE_ZAKONNO
# и разбор `case` в run.sh. Здесь их место занимает один закрытый список:
# имя файла больше ничего не решает.
#
# КТО ЧИТАЕТ ЭТОТ ФАЙЛ:
#   flang/proof/checker/tests/run.sh   — класс и ожидаемый исход каждой пробы;
#   flang/proof/corpus-share.sh         — какие места вынести из знаменателя;
#   scripts/доказуемость.sh             — проверки 3 и 4 (набор и храповик).
#
# СТОЛБЦЫ (разделитель — ОДИН знак табуляции, семь полей):
#   1 имя              — имя подделки, оно же основа имён исходника и записи;
#   2 исходник         — путь от корня дерева до .flang с ложью;
#   3 запись           — путь от корня дерева до .record доказательства;
#   4 что стережёт     — какое правило ядра эта подделка не даёт ослабить;
#   5 ожидаемый исход  — код чекера: «1» либо «0|3» (см. класс);
#   6 класс            — «лжёт-запись» либо «лжёт-программа»;
#   7 заведена         — дата первого коммита исходника.
#
# ДВА КЛАССА, И ОНИ РАЗВОДЯТ ТО, ЧТО ПРЕЖДЕ БЫЛО СМЕШАНО:
#   лжёт-запись     — запись ПРОТИВОРЕЧИТ исходнику: она объявляет доказанным
#                     то, чего записанные ходы не проигрывают. Обязателен код 1;
#                     приём кодом 0 — провал набора. Обязательства такой записи
#                     в числитель не попадают НИКОГДА, и линейка выносит их из
#                     знаменателя как недостижимые;
#   лжёт-программа  — ложна ПРОГРАММА, а запись честна: она записывает, что ядро
#                     на ложной половине ничего не доказало, и записывает всё,
#                     что ядро доказало на честной половине того же файла. Верен
#                     код 0 либо 3; отказ кодом 1 — провал: значит честная
#                     половина перестала доказываться.
#
# КЛАСС КАЖДОЙ СТРОКИ ПОДТВЕРЖДЁН ЧТЕНИЕМ ШАПКИ ИСХОДНИКА (ADR-0023 §9), а не
# взят по умолчанию. Шапки всех 31 говорят одно: ложна программа, и ложная
# половина обязана остаться недоказанной. Единственное исключение —
# poddelka-svyortka-nad-pustym: там лжёт САМА ЗАПИСЬ (ход «закрыть тождеством»
# при разных сторонах равенства и «ход конец» без «ход цель»), и чекер это
# опровергает кодом 1 словами «НЕ СОШЛОСЬ».
#
# ГДЕ ЗАМЕР РАЗОШЁЛСЯ С ОЖИДАНИЕМ ADR. ADR-0023 §4.1 ждал ДВЕ строки класса
# «лжёт-запись» — poddelka-svyortka-nad-pustym и poddelka-svyortka-shagom.
# Замер 8 сентября 2026 на этом дереве: у второй чекер печатает дословно
# «запись не противоречит исходнику» и даёт код 3. Значит её класс —
# «лжёт-программа», и в наборе строк класса «лжёт-запись» сегодня ОДНА.
#
# СПИСОК ЗАКРЫТ И ХОДИТ ПОД ХРАПОВИКОМ (ratchet.txt): убыль строк роняет
# вердикт «ДОКАЗУЕМ». Прибавлять — руками и с доводом в коммите.
#
имя	исходник	запись	что стережёт	ожидаемый исход	класс	заведена
forgery-binder-hides-the-condition	flang/proof/examples/forgery-binder-hides-the-condition.flang	flang/proof/checker/tests/records/corpus/forgery-binder-hides-the-condition.record	правило, снимающее стену связывателя, не вправе доказать заведомо ложное	0|3	лжёт-программа	2026-08-30
forgery-if-without-descent	flang/proof/examples/forgery-if-without-descent.flang	flang/proof/checker/tests/records/corpus/forgery-if-without-descent.record	принцип по отрезку не даётся телу-«если», у которого убывания нет	0|3	лжёт-программа	2026-08-24
poddelka-builtin-emptiness-fact	flang/test/fixtures/poddelka-builtin-emptiness-fact.flang	flang/proof/checker/tests/records/corpus/poddelka-builtin-emptiness-fact.record	встроенная пустота «пусто Л» есть тот же факт, что «(длина Л) равен 0», и не шире	0|3	лжёт-программа	2026-08-24
poddelka-dlina	flang/test/fixtures/poddelka-dlina.flang	flang/proof/checker/tests/records/corpus/poddelka-dlina.record	три точные меры длины — голова, звено, склейка — по паре половин на каждый факт	0|3	лжёт-программа	2026-08-21
poddelka-dno-proizvedeniya	flang/test/fixtures/poddelka-dno-proizvedeniya.flang	flang/proof/checker/tests/records/corpus/poddelka-dno-proizvedeniya.record	дно произведения берётся лишь при строго положительном дне ОБОИХ сомножителей	0|3	лжёт-программа	2026-08-23
poddelka-element-po-nomeru	flang/test/fixtures/poddelka-element-po-nomeru.flang	flang/proof/checker/tests/records/corpus/poddelka-element-po-nomeru.record	переписка «элемент N в …» идёт только по построению списка	0|3	лжёт-программа	2026-08-23
poddelka-integrality-from-fact	flang/test/fixtures/poddelka-integrality-from-fact.flang	flang/proof/checker/tests/records/corpus/poddelka-integrality-from-fact.record	целость, сказанная фактом, не даёт ни знака, ни потолка, ни целости соседнему терму	0|3	лжёт-программа	2026-08-24
poddelka-istinnaya-vetv	flang/test/fixtures/poddelka-istinnaya-vetv.flang	flang/proof/checker/tests/records/corpus/poddelka-istinnaya-vetv.record	у цели-выбора с истинной ветвью ветвь «то» обязана быть литералом «да»	0|3	лжёт-программа	2026-08-20
poddelka-konyunkciya	flang/test/fixtures/poddelka-konyunkciya.flang	flang/proof/checker/tests/records/corpus/poddelka-konyunkciya.record	конъюнкция выводится, только когда доказаны ОБЕ половины	0|3	лжёт-программа	2026-08-22
poddelka-krug-pri-rabote	flang/test/fixtures/poddelka-krug-pri-rabote.flang	flang/proof/checker/tests/records/corpus/poddelka-krug-pri-rabote.record	развязка постусловий не снимает сторожа круга в НАПЕЧАТАННОМ коде	0|3	лжёт-программа	2026-08-20
poddelka-lozhnaya-polovina	flang/test/fixtures/poddelka-lozhnaya-polovina.flang	flang/proof/checker/tests/records/corpus/poddelka-lozhnaya-polovina.record	допущением становится условие ТОЛЬКО истинной половины	0|3	лжёт-программа	2026-08-21
poddelka-mera-dliny-stroki	flang/test/fixtures/poddelka-mera-dliny-stroki.flang	flang/proof/checker/tests/records/corpus/poddelka-mera-dliny-stroki.record	список точных мер длины строки закрыт тремя формами	0|3	лжёт-программа	2026-08-21
