# ЧТО: модули flang/stdlib, с которых НЕ снимается ведомость доказательств (`flang check --proof` даёт не 0 либо пустой вывод) — строка на модуль: имя без расширения, код возврата, причина. ЗАЧЕМ: храповик — сторож краснеет и на новом отказе («ПРИБАВИЛОСЬ»), и на записи, чей долг закрыт («НАДГРОБИЕ»). КТО ЧИТАЕТ: scripts/guards/stdlib-proof-guard.sh (первый столбец; строка без табуляции, как эта, пропускается); .github/workflows/stdlib-proof.yml называет файл.
# ЗАМЕР 20 сентября 2026, прогон `sh scripts/guards/stdlib-proof-guard.sh --перепись` на двоичном 0.7.20 (make -C bootstrap CFLAGS='-std=c99 -O0'), по восемь модулей разом, предел 3600 с на модуль, машина 256 ядер на простое: стенного 83 мин 41 с, машинного 462 мин 57 с; модулей 51, ведомость снялась с 39.
модуль	код	почему
aes	3	долг доказуемости дерева, не беда отчёта: ведомость печатается (135329 байт), код 3 — «объявлено, не доказано» 5. Закроется, когда эти утверждения будут доказаны либо сняты; долю меряет flang/proof/доля-корпуса.sh
datetime	124	не уложился в предел 3600 с на модуль. Свой замер на простое машины: datetime — ответа не дал и за четыре часа, прогон снят. Это не беда отчёта, а цена проверки: закроется, когда ведомость по этому модулю станет дешевле
kdf	1	ведомость не печатается у программы с замечаниями: место указано строкой и столбцом, но без файла: вместе с импортами проверено файлов 5, а диагностика компилятора имени файла не несёт
math-classics	1	задача 8455: сторож «чужой заголовок не признаётся своим» внутри самого компилятора — ведомости не печатается ни строки. Правка лежит в flang/self/zapis.flang и доедет до двоичного перепечаткой семени; после неё строку убрать
numbers	1	задача 8455: сторож «чужой заголовок не признаётся своим» внутри самого компилятора — ведомости не печатается ни строки. Правка лежит в flang/self/zapis.flang и доедет до двоичного перепечаткой семени; после неё строку убрать
scram	3	долг доказуемости дерева, не беда отчёта: ведомость печатается (18751 байт), код 3 — «объявлено, не доказано» 2. Закроется, когда эти утверждения будут доказаны либо сняты; долю меряет flang/proof/доля-корпуса.sh
sqlite	3	долг доказуемости дерева, не беда отчёта: ведомость печатается (104930 байт), код 3 — «объявлено, не доказано» 32. Закроется, когда эти утверждения будут доказаны либо сняты; долю меряет flang/proof/доля-корпуса.sh
tls	3	долг доказуемости дерева, не беда отчёта: ведомость печатается (98138 байт), код 3 — «объявлено, не доказано» 10. Закроется, когда эти утверждения будут доказаны либо сняты; долю меряет flang/proof/доля-корпуса.sh
tls-handshake	3	долг доказуемости дерева, не беда отчёта: ведомость печатается (42170 байт), код 3 — «объявлено, не доказано» 4. Закроется, когда эти утверждения будут доказаны либо сняты; долю меряет flang/proof/доля-корпуса.sh
tree	124	не уложился в предел 3600 с на модуль. Свой замер на простое машины: tree — 6466 с до ответа (код 0). Это не беда отчёта, а цена проверки: закроется, когда ведомость по этому модулю станет дешевле
trust-store	3	долг доказуемости дерева, не беда отчёта: ведомость печатается (17967 байт), код 3 — «объявлено, не доказано» 6. Закроется, когда эти утверждения будут доказаны либо сняты; долю меряет flang/proof/доля-корпуса.sh
x25519	3	долг доказуемости дерева, не беда отчёта: ведомость печатается (28238 байт), код 3 — «объявлено, не доказано» 8. Закроется, когда эти утверждения будут доказаны либо сняты; долю меряет flang/proof/доля-корпуса.sh
