# ЧЕТЫРЕ ИСХОДА СТРОГОГО РЕЖИМА (задача 5502, пункт 5 внешнего аудита).
#
# Поля: программа, ключи (через пробел, «—» — без ключей), ожидаемый код
# возврата, слово, которое обязано стоять в выводе. Слово проверяется вместе с
# кодом нарочно: смена причины при том же коде — тоже расхождение, а не тишина
# (тот же довод, что у flang/proof/чекер/пробы/программы/вердикт-лжи.sh).
#
# ДВЕ ПОЛОВИНЫ ТАБЛИЦЫ, И ОБЕ ОБЯЗАТЕЛЬНЫ.
# · Строки без «--строго» — УМОЛЧАНИЕ. Оно правкой 5502 не тронуто ни на знак, и
#   эти строки стерегут именно это: пять программ, у которых умолчание отвечает
#   ровно как до правки. Разъехалось умолчание — сломано всё дерево разом.
# · Строки с «--строго» — сам строгий режим. Ноль в нём допустим ТОЛЬКО у
#   «честная.flang»: у неё у каждого утверждения вердикт «доказано».
#
# ФАЛЬСИФИКАТОР задачи стоит первой парой строк: «лож-постусловие.flang» лжёт
# постусловием («результат не больше 100» при теле «н плюс н»), и до правки ноль
# ей давали ВСЕ три прибора. Даст строгий режим ноль ей снова — задача не
# сделана.
программа	ключи	код	слово
лож-постусловие.flang	--proof	0	ПРОВЕРЕНО С ОПОРОЙ, И ОПОРА НЕ СУДИЛАСЬ
лож-постусловие.flang	--proof --строго	3	НЕ УДАЛОСЬ ДОКАЗАТЬ — ОПОРА НЕ СУДИЛАСЬ
лож-постусловие-без-примеров.flang	--proof	3	НЕ ПРОВЕРЕНО
лож-постусловие-без-примеров.flang	--proof --строго	3	НЕ УДАЛОСЬ ДОКАЗАТЬ — ОБЪЯВЛЕНО, НЕ ДОКАЗАНО
честная.flang	--proof	0	ПРОВЕРЕНО САМОСТОЯТЕЛЬНО
честная.flang	--proof --строго	0	ДОКАЗАНО
сетка-без-доказательства.flang	--proof	0	ПРОВЕРЕНО С ОПОРОЙ, И ОПОРА НЕ СУДИЛАСЬ
сетка-без-доказательства.flang	--proof --строго	3	НЕ УДАЛОСЬ ДОКАЗАТЬ — ОПОРА НЕ СУДИЛАСЬ
объявлено-не-доказано.flang	--proof	3	НЕ ПРОВЕРЕНО
объявлено-не-доказано.flang	--proof --строго	3	НЕ УДАЛОСЬ ДОКАЗАТЬ — ОБЪЯВЛЕНО, НЕ ДОКАЗАНО
старшинство.flang	--proof	3	НЕ ПРОВЕРЕНО
старшинство.flang	--proof --строго	3	НЕ УДАЛОСЬ ДОКАЗАТЬ — ОБЪЯВЛЕНО, НЕ ДОКАЗАНО
несудимое.flang	--proof	2	бинарник не считает — monoids
несудимое.flang	--proof --строго	2	НЕ ПОДДЕРЖИВАЕТСЯ
опровергнуто.flang	--proof	1	FLANG_PROPERTY: нарушено свойство
опровергнуто.flang	--proof --строго	1	FLANG_PROPERTY: нарушено свойство
честная.flang	--строго	2	осмыслен только рядом с «--proof»
честная.flang	--быстро	4	часть проверок НЕ ЗАПУСКАЛАСЬ — код возврата 4, а не 0
честная.flang	—	0	проверено — разбор, типы, завершаемость, ядро и примеры
лож-постусловие.flang	—	0	проверено — разбор, типы, завершаемость, ядро и примеры
