# ЧЕТЫРЕ ИСХОДА СТРОГОГО РЕЖИМА (задача 5502, пункт 5 внешнего аудита).
#
# Поля: программа, ключи (через пробел, «—» — без ключей), ожидаемый код
# возврата, слово, которое обязано стоять в выводе. Слово проверяется вместе с
# кодом нарочно: смена причины при том же коде — тоже расхождение, а не тишина
# (тот же довод, что у flang/proof/checker/tests/programs/lie-verdict.sh).
#
# ДВЕ ПОЛОВИНЫ ТАБЛИЦЫ, И ОБЕ ОБЯЗАТЕЛЬНЫ.
# · Строки без «--строго» — УМОЛЧАНИЕ. Оно правкой 5502 не тронуто ни на знак, и
#   эти строки стерегут именно это: пять программ, у которых умолчание отвечает
#   ровно как до правки. Разъехалось умолчание — сломано всё дерево разом.
# · Строки с «--строго» — сам строгий режим. Ноль в нём допустим ТОЛЬКО у
#   «honest.flang»: у неё у каждого утверждения вердикт «доказано».
#
# ФАЛЬСИФИКАТОР задачи стоит первой парой строк: «false-postcondition.flang» лжёт
# постусловием («результат не больше 100» при теле «н плюс н»), и до правки ноль
# ей давали ВСЕ три прибора. Даст строгий режим ноль ей снова — задача не
# сделана.
программа	ключи	код	слово
false-postcondition.flang	--proof	0	ПРОВЕРЕНО С ОПОРОЙ, И ОПОРА НЕ СУДИЛАСЬ
false-postcondition.flang	--proof --строго	3	НЕ УДАЛОСЬ ДОКАЗАТЬ — ОПОРА НЕ СУДИЛАСЬ
false-postcondition-without-examples.flang	--proof	3	НЕ ПРОВЕРЕНО
false-postcondition-without-examples.flang	--proof --строго	3	НЕ УДАЛОСЬ ДОКАЗАТЬ — ОБЪЯВЛЕНО, НЕ ДОКАЗАНО
honest.flang	--proof	0	ПРОВЕРЕНО САМОСТОЯТЕЛЬНО
honest.flang	--proof --строго	0	ДОКАЗАНО
grid-without-proof.flang	--proof	0	ПРОВЕРЕНО С ОПОРОЙ, И ОПОРА НЕ СУДИЛАСЬ
grid-without-proof.flang	--proof --строго	3	НЕ УДАЛОСЬ ДОКАЗАТЬ — ОПОРА НЕ СУДИЛАСЬ
declared-not-proved.flang	--proof	3	НЕ ПРОВЕРЕНО
declared-not-proved.flang	--proof --строго	3	НЕ УДАЛОСЬ ДОКАЗАТЬ — ОБЪЯВЛЕНО, НЕ ДОКАЗАНО
precedence.flang	--proof	3	НЕ ПРОВЕРЕНО
precedence.flang	--proof --строго	3	НЕ УДАЛОСЬ ДОКАЗАТЬ — ОБЪЯВЛЕНО, НЕ ДОКАЗАНО
not-judged.flang	--proof	2	бинарник не считает — monoids
not-judged.flang	--proof --строго	2	НЕ ПОДДЕРЖИВАЕТСЯ
refuted.flang	--proof	1	FLANG_PROPERTY: нарушено свойство
refuted.flang	--proof --строго	1	FLANG_PROPERTY: нарушено свойство
honest.flang	--строго	2	осмыслен только рядом с «--proof»
honest.flang	--быстро	4	часть проверок НЕ ЗАПУСКАЛАСЬ — код возврата 4, а не 0
honest.flang	—	0	проверено — разбор, типы, завершаемость, ядро и примеры
false-postcondition.flang	—	0	проверено — разбор, типы, завершаемость, ядро и примеры
