# Пробы вердикта при запуске (ADR-0045). Поля: программа, путь (run|io), ключ
# (0 — без --на-веру, 1 — с ним), ожидаемый код возврата, слово, которое обязано
# стоять в выводе. У проб с ключом слово — «доказанность не считалась»: это
# кусок строки «на веру», и печатают её ОБА пути (зонд — полем «вердикт»,
# двоичный — в поток ошибок). Одна таблица на два пути: разъедься они, разошлись
# бы молча. Что вычисление состоялось, говорит код 0 рядом: отказ несёт 3.
программа	путь	ключ	код	слово
grid.flang	run	0	3	не доказано
on-trust.flang	run	0	3	не доказано
lie.flang	run	0	3	не доказано
identity.flang	run	0	0	доказано: утверждений 1
by-type.flang	run	0	0	доказано: утверждений 1
induction.flang	run	0	0	доказано: утверждений 1
without-statements.flang	run	0	0	доказано: утверждений 0
grid.flang	run	1	0	доказанность не считалась
on-trust.flang	run	1	0	доказанность не считалась
lie.flang	run	1	0	доказанность не считалась
plan-proved.flang	io	0	0	доказано: утверждений 1
plan-on-trust.flang	io	0	3	не доказано
plan-on-trust.flang	io	1	0	доказанность не считалась
