метка	правка	исход	файл
дерево	честная	честная	flang/proof/чекер/пробы/записи/Ч19/дерево-00-честная.запись
дерево	число-строк-исходника	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-1-число-строк-исходника.запись
дерево	число-знаков-исходника	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-2-число-знаков-исходника.запись
дерево	отпечаток-исходника	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-3-отпечаток-исходника.запись
дерево	путь-исходника	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-4-путь-исходника.запись
дерево	число-утверждений	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-5-число-утверждений.запись
дерево	имя-утверждения	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-6-имя-утверждения.запись
дерево	имя-функции	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-7-имя-функции.запись
дерево	место-утверждения	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-8-место-утверждения.запись
дерево	имя-теоремы	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-9-имя-теоремы.запись
дерево	место-теоремы	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-10-место-теоремы.запись
дерево	место-цели	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-11-место-цели.запись
дерево	имя-данного	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-12-имя-данного.запись
дерево	переменная-индукции	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-13-переменная-индукции.запись
дерево	обоснование-шага	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-14-обоснование-шага.запись
дерево	шаг-выброшен	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-15-шаг-выброшен.запись
дерево	число-шагов-случая	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-16-число-шагов-случая.запись
дерево	число-шагов-посылки	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-17-число-шагов-посылки.запись
дерево	вариант-посылки	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-18-вариант-посылки.запись
дерево	закон-хода	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-19-закон-хода.запись
дерево	место-развёртки	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-20-место-развёртки.запись
дерево	имя-сведения	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-21-имя-сведения.запись
дерево	тип-принципа	подделка	flang/proof/чекер/пробы/записи/Ч19/дерево-22-тип-принципа.запись
натурал	честная	честная	flang/proof/чекер/пробы/записи/Ч19/натурал-00-честная.запись
натурал	число-строк-исходника	подделка	flang/proof/чекер/пробы/записи/Ч19/натурал-1-число-строк-исходника.запись
натурал	число-знаков-исходника	подделка	flang/proof/чекер/пробы/записи/Ч19/натурал-2-число-знаков-исходника.запись
натурал	отпечаток-исходника	подделка	flang/proof/чекер/пробы/записи/Ч19/натурал-3-отпечаток-исходника.запись
натурал	путь-исходника	подделка	flang/proof/чекер/пробы/записи/Ч19/натурал-4-путь-исходника.запись
натурал	число-утверждений	подделка	flang/proof/чекер/пробы/записи/Ч19/натурал-5-число-утверждений.запись
натурал	имя-утверждения	подделка	flang/proof/чекер/пробы/записи/Ч19/натурал-6-имя-утверждения.запись
натурал	имя-функции	подделка	flang/proof/чекер/пробы/записи/Ч19/натурал-7-имя-функции.запись
натурал	место-утверждения	подделка	flang/proof/чекер/пробы/записи/Ч19/натурал-8-место-утверждения.запись
натурал	имя-теоремы	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	место-теоремы	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	место-цели	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	имя-данного	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	переменная-индукции	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	обоснование-шага	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	шаг-выброшен	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	число-шагов-случая	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	число-шагов-посылки	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	вариант-посылки	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	закон-хода	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	место-развёртки	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	имя-сведения	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
натурал	тип-принципа	не применилась	flang/proof/чекер/пробы/записи/Ч19/—
