# Ведомость расхождений переписи перечней, набранных руками.
# Строку сюда вписывают только с доводом, ПОЧЕМУ расхождение остаётся.
#
# Сверяется в ОБЕ стороны: `sh scripts/hand-written-lists.sh --check` краснеет
# и на расхождении, которого здесь нет, и на записи, переставшей быть
# расхождением. Второе — не придирка: ведомость, пережившая дерево, это ровно
# та болезнь, ради которой ведомость заведена.
#
# Снято заново на ветке r/storozha-dolg поверх ствола 08220eaa, 8 сентября 2026:
# 97 расхождений (целей 43, путей 54) из 254 перечней. Прежняя запись — ствол
# af791d85, 62 расхождения из 223 перечней, 1 сентября 2026, ячейка Ч181.
#
# Что изменилось и почему. С 1 сентября ведомость с прибором не сводили: она
# знала 52 расхождения, прибор называл 97. Снято 18 записей и вписано 63.
#
#   СНЯТЫЕ 18 были мертвы ещё ДО этой правки — проверено прогоном переписи на
#   нетронутой копии ствола: там их 19, и девятнадцатая (scripts/link-guard.flang
#   строка 694) ожила ровно потому, что перечень в этом файле переехал на её
#   номер после снятия комментариев. Ведомость, пережившая дерево, — та же
#   болезнь, ради которой ведомость заведена.
#
#   ВПИСАННЫЕ 63 — три породы.
#
#   Восемь целей вместо девяти: 27 записей. Семя перепечатано с целью `cpp`
#   5 сентября, и всякий перечень из восьми целей стал расходиться С ОБОИМИ
#   источниками сразу. Исторические замеры и закрытые задачи правятся только
#   вместе с датой; справка сайта, руководство и разбор бед — настоящий долг
#   документации, и он назван долгом прямо, а не спрятан за словом «замер».
#
#   Прежние имена, переезды и сабмодули: 29 записей путей. Снятые файлы
#   JavaScript, каталоги examples/cat и flang/cat, задачи, переехавшие в
#   tasks/completed, входы примеров и содержимое невыкаченных сабмодулей
#   packaging/asdf-plugin и packaging/homebrew-tap.
#
#   Остальные 7 записей целей — перечни, описывающие ПОДМНОЖЕСТВО (цели с
#   хозяином узла, цели с уликами, цели без плана) и одна граница самого
#   прибора: в .github/workflows/ci.yml строка 762 перечень ПОЛОН, но девятое
#   имя дописано следующей строкой под `if`, а связная череда переписи на этой
#   строке рвётся.
#
# 8 сентября из 58 файлов сняты комментарии (долг «в .flang не пишут
# комментариев»), и 13 расхождений уехали вверх на 20-110 строк, а три
# исчезли вовсе — они стояли в самих комментариях (docs/site/site-numbers.flang,
# scripts/emit-promises-guard.flang, scripts/link-guard.flang).
#
# вид	файл	строка	довод, почему расхождение остаётся
ЦЕЛИ	ROADMAP.md	1522	правдивое высказывание о ПОДМНОЖЕСТВЕ целей, а не заявка «вот они все»: речь о трёх целях с планировщиком и о пяти без него
ЦЕЛИ	docs/eight-targets-renames.tsv	2	ведомость переименований по семи целям; «c» заморожена, девятой цели у двоичного нет
ЦЕЛИ	docs/javascript-checks-breakdown.tsv	518	исторический замер снятых проверок JavaScript; правится только вместе с датой замера
ЦЕЛИ	docs/zettel/the-byte-check-subtracted-the-entry-boundary-and-went-green-for-nothing.md	35	правдивое высказывание о ПОДМНОЖЕСТВЕ целей, а не заявка «вот они все»: «у четырёх остальных целей»
ЦЕЛИ	flang/self/bootstrap/compiler.flang	324	замер 30 августа по целям, печатающим конкурентность; «js» и девятая цель в замер не входили
ЦЕЛИ	scripts/identical-declarations.sh	102	«c» — база сличения и в перечень сличаемых не входит нарочно; девятой цели нет у двоичного
ЦЕЛИ	scripts/target-collisions.sh	104	«c» — база сличения; девятой цели нет у двоичного
ЦЕЛИ	scripts/target-collisions.sh	286	«c» — база сличения; девятой цели нет у двоичного
ЦЕЛИ	scripts/test-remote.sh	64	перечень тулчейнов машины; «js» тулчейна не имеет, девятая цель делит тулчейн с «c»
ПУТИ	docs/ifl/reproduce.sh	17	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	docs/ifl/reproduce.sh	84	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	docs/ifl/reproduce.sh	93	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	docs/site/build.mjs	175	ложное срабатывание переписи: имя складывается прогоном или это обрубок строки, а не имя дерева (en/limits.html складывается печатью сайта)
ПУТИ	docs/site/site-numbers.mjs	67	ложное срабатывание переписи: имя складывается прогоном или это обрубок строки, а не имя дерева (обрубок «flang/self/emit-» — приставка, к которой прогон дописывает имя цели)
ПУТИ	flang/proof/examples/corpus-factorial.flang	7	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/proof/examples/corpus-natural.flang	6	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
