# Пробы ЭКРАНА двоичного хозяина: поручения «Показать» и «Ждать событие».
# Поля: программа, среда (терминал|труба), ключ (- — без ключей), ввод (что
# подать клавишами; `-` — не подавать ничего, \033 и прочее разворачивает
# printf %b), ожидаемый код возврата, слово, которое обязано стоять в выводе.
#
# СРЕДА ЗНАЧАЩАЯ, и в этом весь уговор: экран двоичного — управляющий терминал,
# и там, где вывод уведён в трубу, в файл, в CI или под nohup, ответ обязан
# остаться прежним отказом FLANG_IO_NO_SCREEN. Строка «труба» — не украшение
# набора, а фальсификатор: позеленей она кодом 0, и правка молча поменяла бы
# ответ всем неинтерактивным прогонам дерева.
#
# Терминал даёт `script -qec … /dev/null` — псевдотерминал без записи сеанса.
# Клавиши подаются с задержкой в секунду: до первого «Ждать событие» терминал
# ещё в построчном режиме, и знаки вроде 0x7F съела бы его же построчная
# правка, не доехав до хозяина.
программа	среда	ключ	ввод	код	слово
frame-and-key.flang	терминал	-	ы	0	пришло от «клавиатура»: «ы»
frame-and-key.flang	терминал	-	a	0	пришло от «клавиатура»: «a»
frame-and-key.flang	терминал	-	\033[A	0	пришло от «клавиатура»: «вверх»
frame-and-key.flang	терминал	-	\033[B	0	пришло от «клавиатура»: «вниз»
frame-and-key.flang	терминал	-	\033[C	0	пришло от «клавиатура»: «вправо»
frame-and-key.flang	терминал	-	\033[D	0	пришло от «клавиатура»: «влево»
frame-and-key.flang	терминал	-	\r	0	пришло от «клавиатура»: «ввод»
frame-and-key.flang	терминал	-	\040	0	пришло от «клавиатура»: «пробел»
frame-and-key.flang	терминал	-	\t	0	пришло от «клавиатура»: «таб»
frame-and-key.flang	терминал	-	\177	0	пришло от «клавиатура»: «возврат»
frame-and-key.flang	терминал	-	\033	0	пришло от «клавиатура»: «выход»
frame-and-key.flang	терминал	-	-	0	срок вышел
frame-and-key.flang	терминал	-	ы	0	[?1049h
frame-and-key.flang	терминал	-	ы	0	[?1049l
frame-and-key.flang	труба	-	-	1	FLANG_IO_NO_SCREEN
frame-and-key.flang	терминал	--no-screen	-	1	FLANG_IO_DENIED
frame-and-key.flang	труба	--no-screen	-	1	FLANG_IO_DENIED
foreign-place.flang	терминал	-	-	1	FLANG_IO_PLACE
foreign-place.flang	терминал	-	-	1	место у терминала одно и зовётся «экран»
foreign-place.flang	труба	-	-	1	FLANG_IO_NO_SCREEN
deadline-passed.flang	терминал	-	-	0	срок вышел
deadline-passed.flang	труба	-	-	1	FLANG_IO_NO_SCREEN
