# Пробы ЭКРАНА двоичного хозяина: поручения «Показать» и «Ждать событие».
# Поля: программа, среда (терминал|труба), ключ (- — без ключей), ввод (что
# подать клавишами; `-` — не подавать ничего, \033 и прочее разворачивает
# printf %b), ожидаемый код возврата, слово, которое обязано стоять в выводе.
#
# СРЕДА ЗНАЧАЩАЯ, и в этом весь уговор: экран двоичного — управляющий терминал,
# и там, где вывод уведён в трубу, в файл, в CI или под nohup, ответ обязан
# остаться прежним отказом FLANG_IO_NO_SCREEN. Строка «труба» — не украшение
# набора, а фальсификатор: позеленей она кодом 0, и правка молча поменяла бы
# ответ всем неинтерактивным прогонам дерева.
#
# Терминал даёт `script -qec … /dev/null` — псевдотерминал без записи сеанса.
# Клавиши подаются с задержкой в секунду: до первого «Ждать событие» терминал
# ещё в построчном режиме, и знаки вроде 0x7F съела бы его же построчная
# правка, не доехав до хозяина.
программа	среда	ключ	ввод	код	слово
кадр-и-клавиша.flang	терминал	-	ы	0	пришло от «клавиатура»: «ы»
кадр-и-клавиша.flang	терминал	-	a	0	пришло от «клавиатура»: «a»
кадр-и-клавиша.flang	терминал	-	\033[A	0	пришло от «клавиатура»: «вверх»
кадр-и-клавиша.flang	терминал	-	\033[B	0	пришло от «клавиатура»: «вниз»
кадр-и-клавиша.flang	терминал	-	\033[C	0	пришло от «клавиатура»: «вправо»
кадр-и-клавиша.flang	терминал	-	\033[D	0	пришло от «клавиатура»: «влево»
кадр-и-клавиша.flang	терминал	-	\r	0	пришло от «клавиатура»: «ввод»
кадр-и-клавиша.flang	терминал	-	\040	0	пришло от «клавиатура»: «пробел»
кадр-и-клавиша.flang	терминал	-	\t	0	пришло от «клавиатура»: «таб»
кадр-и-клавиша.flang	терминал	-	\177	0	пришло от «клавиатура»: «возврат»
кадр-и-клавиша.flang	терминал	-	\033	0	пришло от «клавиатура»: «выход»
кадр-и-клавиша.flang	терминал	-	-	0	срок вышел
кадр-и-клавиша.flang	терминал	-	ы	0	[?1049h
кадр-и-клавиша.flang	терминал	-	ы	0	[?1049l
кадр-и-клавиша.flang	труба	-	-	1	FLANG_IO_NO_SCREEN
кадр-и-клавиша.flang	терминал	--no-screen	-	1	FLANG_IO_DENIED
кадр-и-клавиша.flang	труба	--no-screen	-	1	FLANG_IO_DENIED
чужое-место.flang	терминал	-	-	1	FLANG_IO_PLACE
чужое-место.flang	терминал	-	-	1	место у терминала одно и зовётся «экран»
чужое-место.flang	труба	-	-	1	FLANG_IO_NO_SCREEN
срок-вышел.flang	терминал	-	-	0	срок вышел
срок-вышел.flang	труба	-	-	1	FLANG_IO_NO_SCREEN
