цель	судья	род	было	стало	идентификатор
go	связывание	функция	Слить просьбы	Слить просьбы Go	slit_prosby_go
rust	связывание	функция	Без ведущих пробелов	Без ведущих пробелов Rust	bez_veduschih_probelov_rust
rust	связывание	функция	Ключи полей	Ключи полей Rust	klyuchi_poley_rust
python	связывание	тип	Блок	Блок Python	sozdat_blok_python
python	связывание	тип	Вариант типа	Вариант типа Python	sozdat_variant_tipa_python
python	связывание	тип	Запись типа	Запись типа Python	sozdat_zapis_tipa_python
python	связывание	тип	Зип	Зип Python	sozdat_zip_python
python	связывание	тип	Именованные идентификаторы	Именованные идентификаторы Python	sozdat_imenovannye_identifikatory_python
python	связывание	тип	Именователь	Именователь Python	sozdat_imenovatel_python
python	связывание	тип	Итог	Итог Python	sozdat_itog_python
python	связывание	тип	Итог образца	Итог образца Python	sozdat_itog_obrazca_python
python	связывание	тип	Итог печати	Итог печати Python	sozdat_itog_pechati_python
python	связывание	тип	Компонента	Компонента Python	sozdat_komponenta_python
python	связывание	тип	Контекст	Контекст Python	sozdat_kontekst_python
python	связывание	тип	Метка	Метка Python	sozdat_metka_python
python	связывание	тип	Может быть имя	Может быть имя Python	—
python	связывание	тип	Может быть узел	Может быть узел Python	—
python	связывание	тип	Может быть функция	Может быть функция Python	—
python	связывание	тип	Может быть число	Может быть число Python	—
python	связывание	тип	Набор имён	Набор имён Python	sozdat_nabor_imyon_python
python	связывание	тип	Настройки	Настройки Python	sozdat_nastroyki_python
python	связывание	тип	Общее	Общее Python	sozdat_obschee_python
python	связывание	тип	Отрезание	Отрезание Python	sozdat_otrezanie_python
python	связывание	тип	Пара имён	Пара имён Python	sozdat_para_imyon_python
python	связывание	тип	Параметр	Параметр Python	sozdat_parametr_python
python	связывание	тип	Поиск слова	Поиск слова Python	sozdat_poisk_slova_python
python	связывание	тип	Поле типа	Поле типа Python	sozdat_pole_tipa_python
python	связывание	тип	Постусловие	Постусловие Python	sozdat_postuslovie_python
python	связывание	тип	Предусловие	Предусловие Python	sozdat_preduslovie_python
python	связывание	тип	Рёбра	Рёбра Python	sozdat_ryobra_python
python	связывание	тип	Сбор слов	Сбор слов Python	sozdat_sbor_slov_python
python	связывание	тип	Сбор случаев	Сбор случаев Python	sozdat_sbor_sluchaev_python
python	связывание	тип	Сборка	Сборка Python	sozdat_sborka_python
python	связывание	тип	Свежее	Свежее Python	sozdat_svezhee_python
