У1	тождество после переписки допущением	`плюс` сличается с точностью до порядка соседей ОДНОГО узла	С ТОЧНОСТЬЮ ДО ПОРЯДКА СОСЕДЕЙ	Сумма наоборот
У2	тождество после переписки допущением	`умножить на` — так же; через скобки переставлять нельзя	перестановка двух операндов ОДНОГО узла	Произведение наоборот
У3	тождество после переписки допущением	свёртка, растущая РОВНО на один: начало есть основание правой стороны, шаг растит меру накопителя на единицу, список тот же	свёртка, растущая РОВНО на один	Копия свёрткой
У4	тождество после переписки допущением	`длина (разложить Т на символы)` есть `длина Т`	Мера разложения	Знаки текста
У5	тождество после переписки допущением	`длина (добавить Э к Л)` есть `длина Л плюс 1`	Мера прибавления	Дописать в конец
У6	тождество после переписки допущением	`длина (приписать Э к Л)` есть `длина Л плюс 1`	Это форма прибавления	Дописать в начало
У7	тождество после переписки допущением	`длина (соединить А с Б)` есть `длина А плюс длина Б`	Мера склейки	Склейка строк
У8	ограниченность точным потолком по построению	длина головы строки у образца `голова и хвост` — ровно один знак	сюда же приходит «длина» головы строки: у образца «голова и хвост» она ровно один знак	Первый знак
У9	ограниченность точным потолком по построению	потолок берётся из допущения «не больше» ИЛИ «равно» той же или меньшей границы	терм с допущением «не больше» ИЛИ «равно» той же или меньшей границы	Потолок через равенство
У10	ограниченность точным потолком по построению	точный тип `сотых` несёт тот же потолок, что `неотрицательное`	имя, объявленное точным типом («неотрицательное», «сотых», «тысячных») при границе не ниже	Сотых под потолком
У11	ограниченность точным потолком по построению	точный тип `тысячных` — так же	имя, объявленное точным типом («неотрицательное», «сотых», «тысячных») при границе не ниже	Тысячных под потолком
У12	ограниченность точным потолком по построению	разность, у которой уменьшаемое ограничено, а вычитаемое неотрицательно	разность, у которой уменьшаемое ограничено, а вычитаемое неотрицательно	Разность под потолком
У13	ограниченность точным потолком по построению	остаток от деления неотрицательного ЦЕЛОГО на положительный целый литерал	остаток от деления неотрицательного ЦЕЛОГО на положительный целый литерал	Остаток под делителем
У14	неотрицательность по построению	остаток от деления конечного целого неотрицательного на ненулевой целый литерал	остаток от деления конечного целого неотрицательного на ненулевой целый литерал	Остаток неотрицателен
У15	неотрицательность по построению	КВАДРАТ — умножение терма на себя же знак в знак; дна не нужно, нужна КОНЕЧНОСТЬ	КВАДРАТ — умножение терма на себя же, знак в знак	Квадрат конечного
У16	неотрицательность по построению	конечность даёт и ОГОВОРКА САМОЙ ЦЕЛИ — приписка «пока это число»	та самая приписка «пока это число»	Квадрат с оговоркой
У17	неотрицательность по построению	строгую положительность даёт только названный факт «терм больше К» при К не меньше нуля	её даёт только названный факт вида «терм больше К» при К не меньше нуля	Строго положительное на дно
У18	неотрицательность по построению	дно несёт не только `неотрицательное`, но и `вес`	имя, объявленное типом с дном («неотрицательное», «вес»)	Груз неотрицателен
У19	порядок соседних по построению	список из нуля элементов: пар соседей нет вовсе	список из нуля или одного элемента (пар соседей нет вовсе)	Пустой не убывает
У20	порядок соседних по построению	список из одного элемента — так же	список из нуля или одного элемента (пар соседей нет вовсе)	Один не убывает
У21	порядок соседних по построению	`приписать Г к Х` при выведенном «Х не убывает» И «Г не больше головы Х»	`приписать Г к Х` — при выведенном «Х не убывает» И выведенном «Г не больше головы Х»	Пара по порядку
У22	порядок соседних по построению	выбор при обеих ветвях; ветвь `иначе` закрывается противоречием	закрывается ещё и противоречием: то же условие уже стоит допущением	Выбор при условии-допущении
У23	несовместимые допущения	пара `а меньше б` и `б не больше а` делает случай недостижимым при ЛЮБОМ виде цели	тотальная функция «Правило противоречия»	Несовместимые допущения
У24	порядок по построению	прибавление к ГРАНИЦЕ слагаемого из отрезка [0, конечное] при уже известном порядке	прибавление к ГРАНИЦЕ слагаемого из отрезка [0, конечное] при уже известном порядке	Прибавка к границе
У25	вхождение по построению	`добавить Э к Л` и `приписать Э к Л` при том же самом Э знак в знак	`добавить Э к Л` и `приписать Э к Л` при том же самом Э знак в знак	Дописанное стоит
У26	вхождение по построению	они же при любом другом первом аргументе, если Э стоит по построению уже в Л	они же при любом другом первом аргументе, если Э стоит по построению уже в Л	Прежнее стоит
У27	вхождение по построению	список, выписанный целиком и содержащий Э знак в знак	список, выписанный целиком и содержащий Э знак в знак	Выписанный содержит
У28	вхождение по построению	выбор, у которого Э стоит в обеих ветвях	выбор, у которого Э стоит в обеих ветвях	Обе ветви содержат
