# ВЕДОМОСТЬ СОГЛАСИЯ ПРИ ЗАПУСКЕ (ADR-0045, задача 3811).
# ЧТО: инструменты этого дерева, которые НЕ проходят вердикта о доказанности, —
#      их вызов обязан называть «--на-веру» прямо в командной строке.
# ЗАЧЕМ: чтобы согласие было видно там, где оно даётся, а долг — считаемым.
# КТО ЧИТАЕТ: scripts/guards/run-verdict-debt-guard.sh (сверяет с деревом),
#      человек, решающий, что доказывать следующим.
# Поля: файл, слово вердикта, секунд на вердикт, чем снято.
# Снято 18 сентября 2026 двоичным bootstrap/flang из семени партии №2 с правкой
# хозяина (задача 6427): flang io <файл> --plan НетТакогоПлана1234 — план не
# найден, работа не идёт, платим только за вердикт.
docs/examples/web/stand.flang	не доказано: утверждений 185: доказано 108, сетка 75, на веру 2 — запуск только по явному согласию: --на-веру	59	flang io --plan НетТакогоПлана1234
flang/concurrency/node-benchmark.flang	не доказано: утверждений 181: доказано 166, сетка 7, на веру 8 — запуск только по явному согласию: --на-веру	12	flang io --plan НетТакогоПлана1234
flang/scripts/claim-guard.fscript	не доказано: утверждений 2: доказано 0, сетка 2, на веру 0 — запуск только по явному согласию: --на-веру	9	flang io --plan НетТакогоПлана1234
flang/scripts/code-forgery.fscript	не доказано: утверждений 20: доказано 19, сетка 1, на веру 0 — запуск только по явному согласию: --на-веру	1	flang io --plan НетТакогоПлана1234
flang/scripts/guards-start.fscript	не доказано: утверждений 21: доказано 19, сетка 2, на веру 0 — запуск только по явному согласию: --на-веру	2	flang io --plan НетТакогоПлана1234
flang/scripts/kernel-forgeries.fscript	не доказано: утверждений 73: доказано 69, сетка 4, на веру 0 — запуск только по явному согласию: --на-веру	8	flang io --plan НетТакогоПлана1234
flang/scripts/memory-guard.fscript	не доказано: утверждений 50: доказано 48, сетка 2, на веру 0 — запуск только по явному согласию: --на-веру	4	flang io --plan НетТакогоПлана1234
flang/scripts/proof-ledger.fscript	не доказано: утверждений 580: доказано 351, сетка 222, на веру 7 — запуск только по явному согласию: --на-веру	1762	flang io --plan НетТакогоПлана1234
flang/scripts/target-words.fscript	не доказано: утверждений 233: доказано 129, сетка 104, на веру 0 — запуск только по явному согласию: --на-веру	419	flang io --plan НетТакогоПлана1234
flang/scripts/tasks.fscript	не доказано: утверждений 30: доказано 28, сетка 2, на веру 0 — запуск только по явному согласию: --на-веру	5	flang io --plan НетТакогоПлана1234
