# РАЗБОР ПРОВЕРОК, УМИРАЮЩИХ ВМЕСТЕ С JavaScript — по утверждениям, а не по файлам.
# Дерево: коммит 4780c595, ветка vypusk/zamestit-proverki. 886 блоков test(...) в 37 файлах.
# Категории: A1 — держит пример внутри .flang (переживёт выброс); A2 — держит только сверка
# self-*.test.mjs (умрёт вместе с JavaScript, но предмет — эталон на flang, перенос дешёвый);
# B — переносимо на flang test примером; C — выразимо только снаружи языка (прогонщик, C, фаззинг);
# D — не замещается ничем.
файл	название теста	категория	улика или довод
flang/test/index-bounds.test.mjs:66	номер доказан обеими границами: `н больше 0 и притом н меньше (длина эл)`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:72	одной верхней границы НЕ хватает: `н меньше (длина эл)` без низа	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:79	одной нижней границы НЕ хватает: `н больше 0` без верха	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:84	верх, посчитанный числом, годится так же: `элемент 1 в эл` при длине не меньше двух	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:94	`элемент 3 в [10, 20]` НЕ доказан: номер за концом	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:102	`элемент 1 в [10]` доказан при базе 1 и НЕ доказан при базе 0	B	B: база — свойство программы и на flang (flang/self/types.flang:6689-6693, «База номера программы», умолчание 1); счёт мест — как выше, через «доказаныАнализом»
flang/test/index-bounds.test.mjs:120	«символ» доказан тем же условием, что и «элемент»	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:134	ГРАНИЦА ТЕРЯЕТСЯ НА АРИФМЕТИКЕ: про `н плюс 1` не известно ничего	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:143	ГРАНИЦА ТЕРЯЕТСЯ НА ПЕРЕВЯЗКЕ ИМЕНИ: `пусть эл = []`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:160	вложенное числовое сужение НЕ отнимает именной верх	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:175	номер, объявленный `число`, НЕ доказан: рантайм требует целого	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:183	граница НЕ живёт в ветви `иначе`: там условие ложно	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:192	ПОДДЕЛКА «чужое имя»: условие про `другой`, а номер берётся у `эл`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:202	ПОДДЕЛКА «другое сравнение»: верх вместо низа	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:207	нестрогое `не больше` доказывает ПРИ БАЗЕ 1 — той, что у программы по умолчанию	B	B: база — свойство программы и на flang (flang/self/types.flang:6689-6693, «База номера программы», умолчание 1); счёт мест — как выше, через «доказаныАнализом»
flang/test/index-bounds.test.mjs:217	ПОДДЕЛКА «чужая база»: та же программа при базе 0 НЕ доказана	B	B: база — свойство программы и на flang (flang/self/types.flang:6689-6693, «База номера программы», умолчание 1); счёт мест — как выше, через «доказаныАнализом»
flang/test/index-bounds.test.mjs:228	СТРОГОЕ `меньше` доказывает при ОБЕИХ базах: оно сильнее нужного	B	B: база — свойство программы и на flang (flang/self/types.flang:6689-6693, «База номера программы», умолчание 1); счёт мест — как выше, через «доказаныАнализом»
flang/test/index-bounds.test.mjs:237	база — свойство ПРОГРАММЫ, и её отсутствие значит единицу	B	B: база — свойство программы и на flang (flang/self/types.flang:6689-6693, «База номера программы», умолчание 1); счёт мест — как выше, через «доказаныАнализом»
flang/test/index-bounds.test.mjs:247	ПОДДЕЛКА «другое выражение»: `длина (хвост эл)` вместо `длина эл`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:255	ПОДДЕЛКА «другой номер»: условие про `н`, а берётся `м`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:268	`требует` кладёт границу номера той же `сузить`, что читает `если`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:279	ПОДДЕЛКА предусловия «про другое имя» остаётся отвергнутой	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:293	ЗАСЛОН: доказанное анализом место НЕ получает отметки, пока печать не умеет	B	B: половина держится (flang/test/self-types.test.mjs:422 «элемент» непустотой не снимается, ждём 0); половина «анализ доказал» требует поля «доказаныАнализом» в flang/self/types.flang:6570
