# ЛОВУШКА ПРОВЕРКИ 1 «КАЛЬКУЛЯТОР СНЯТ?» — по одной цели на каждый вид обязательства.
#
# Читает: scripts/доказуемость.sh, проверка 1. Основание: задача 3781 (ловушка
# вместо грепа), ячейка К11 кластера 6202/6203 (9 сентября 2026).
#
# ЗАЧЕМ ТАБЛИЦА, А НЕ ДВЕ ЦЕЛИ. До К11 ловушка держала две ∀-цели («на слове» —
# их снять можно ТОЛЬКО вычислением, и сверщик обязан их не снимать) и одно
# тождество знак в знак («снята» — обратная половина: сверщик, сломанный до
# «ничего не доказываю», тоже не снял бы ∀-целей, и без обратной половины
# проверку 1 брал бы и он). Обратная половина из одной цели стерегла ОДИН вид
# обязательства из тридцати с лишком, которые сверщик переигрывает: приём узла,
# приём вывода, ходы, шаги теоремы, тотальность могли отвалиться молча, и
# проверка 1 оставалась зелёной. Здесь — по одной цели на КАЖДЫЙ вид, что
# сверщик умеет сегодня (виды сняты по коду: ветки `без_теоремы`/`сверить_теорему`,
# семейства `шаг_вывода`, носители `сверить_покрытие`, виды тотальности).
# Вид, за который сверщик перестал браться, красит проверку 1 своим именем.
# Цели живут ВНЕ корпуса (записи не в пробы/записи/корпус): долю они не двигают.
#
# ХРАПОВИК — рядом, ХРАПОВИК.txt: видов «снята» не меньше названного, целей
# «на слове» не меньше названного. Убыль строки таблицы — красно.
#
# ── КОЛОНКИ, ВОСЕМЬ, РАЗДЕЛИТЕЛЬ — ТАБУЛЯЦИЯ ────────────────────────────────
#  1 вид       имя вида обязательства; ЕДИНСТВЕННОЕ в таблице; оно и печатается
#  2 ждём      снята     — сверщик ОБЯЗАН переиграть цель (обратная половина);
#              на слове  — сверщик ОБЯЗАН оставить цель на слове ядра поимённо
#                          (решающая половина: снял — калькулятор в дереве)
#  3 исходник  путь в дереве; отпечаток sha256 подаётся сверщику третьим доводом
#  4 запись    путь в дереве, ВНЕ пробы/записи/корпус
#  5 цель      имя утверждения / теоремы / тотальности в записи
#  6 след      подстрока, обязанная стоять в ЗАПИСИ: то, чем цель принадлежит
#              своему виду (имя правила вывода, носитель, вид тотальности, ход).
#              Стережёт от «убрать цель, оставив имя»: запись без следа — красно
#  7 признак   регулярное выражение (grep -E), обязанное сойтись с СВОДКОЙ
#              сверщика: счётчик вида больше нуля. «—» — не спрашивается
#  8 код       ожидаемый код возврата сверщика на паре целиком (0 либо 3)
#  9 пометка   «—», либо чем запись отличается от печати ядра: рукотворная
#              правка — не вывод ядра, и читатель ловушки обязан это видеть
#
# Для «снята» проверяется всё четыре: код, имя цели НЕ названо в выводе сверщика
# (названное имя — это либо беда, либо «на слове ядра»), след в записи, признак
# в сводке. Для «на слове» — что имя цели названо строкой «за узел не взялся».
вид	ждём	исходник	запись	цель	след	признак	код	пометка
тождество знак в знак	снята	flang/proof/чекер/пробы/записи/Ч365/П1-цель-не-равенство.flang	flang/proof/чекер/пробы/записи/Ч365/П1-цель-не-равенство.запись	сумма трёх	функции «Три слагаемых»	—	3	—
∀-цель: перестановка соседей — только вычислением	на слове	flang/proof/чекер/пробы/записи/Ч365/П1-цель-не-равенство.flang	flang/proof/чекер/пробы/записи/Ч365/П1-цель-не-равенство.запись	сумма наоборот	функции «Соседи переставлены»	—	3	—
∀-цель: мера прибавления — только вычислением	на слове	flang/proof/чекер/пробы/записи/Ч365/П1-цель-не-равенство.flang	flang/proof/чекер/пробы/записи/Ч365/П1-цель-не-равенство.запись	длина растёт на один	функции «Длина прибавления»	—	3	—
узел «разбором по случаям», носитель segment	снята	flang/proof/чекер/пробы/записи/Ч363/00-нетронутый.flang	flang/proof/чекер/пробы/записи/Ч363/00-нетронутый.запись	сумма до неотрицательна	носитель segment	«разбором по случаям» проиграно заново [1-9]	0	—
узел, носитель algebra, домен неотрицательности	снята	flang/proof/чекер/пробы/записи/Ч131-algebra/00-нетронутый.flang	flang/proof/чекер/пробы/записи/Ч131-algebra/00-нетронутый.запись	глубина неотрицательна	носитель algebra	«разбором по случаям» проиграно заново [1-9]	0	—
узел, носитель algebra, булева цель	снята	flang/proof/чекер/пробы/семьи/булева-цель/priznak.flang	flang/proof/чекер/пробы/семьи/булева-цель/priznak.запись	всегда истинно	носитель algebra	булевой веткой снято мест [1-9]	0	—
узел, носитель algebra, тождество с развёрткой по конструктору	снята	flang/proof/чекер/пробы/семьи/конструктор/kopiya.flang	flang/proof/чекер/пробы/семьи/конструктор/kopiya.запись	копия равна оригиналу	носитель algebra	«разбором по случаям» проиграно заново [1-9]	0	—
узел, носитель fold	снята	flang/proof/чекер/пробы/программы/1573-schyotnoe-telo.flang	flang/proof/чекер/пробы/записи/1573/1573-schyotnoe-telo.запись	сколько есть длина	носитель fold	«разбором по случаям» проиграно заново [1-9]	0	—
носитель с объявления: синоним имени отрезка	снята	flang/proof/чекер/пробы/семьи/носитель/imya-naturalnoe.flang	flang/proof/чекер/пробы/семьи/носитель/imya-naturalnoe.запись	сумма до неотрицательна	тип «натуральное»	«разбором по случаям» проиграно заново [1-9]	0	—
носитель с объявления: псевдоним к отрезку	снята	flang/proof/чекер/пробы/семьи/носитель/psevdonim-otrezok.flang	flang/proof/чекер/пробы/семьи/носитель/psevdonim-otrezok.запись	сумма лет неотрицательна	тип «Возраст»	«разбором по случаям» проиграно заново [1-9]	0	—
разбор цели по условию	снята	flang/proof/чекер/пробы/записи/Ч369/00-нетронутый.flang	flang/proof/чекер/пробы/записи/Ч369/00-нетронутый.запись	при положительном пороге ровно длина	вердикт доказано	«разбор цели по условию» проиграно заново [1-9]	0	—
