# ВЕДОМОСТЬ ПРАВИЛ ВЫВОДА — один источник для спеки, сверщика и печати ядра.
# Основание: ADR-0022 §3 и §5, задача 6130. Заведена 2026-09-08.
#
# ЗАЧЕМ ФАЙЛ, А НЕ ПРОЗА. Правила вывода в ядре написаны прозой внутри текстов
# «Отказ …» (proof-kernel.flang:269, 291, 336, 344, 376, 384, 6536). Проза не
# сверяется ни с кодом, ни со спекой, и уже разошлась (см. строки В1–В4 ниже).
#
# ЗАЧЕМ TSV, А НЕ JSON/YAML/ТАБЛИЦА MARKDOWN. Три довода, и все три проверяемы:
#   ЧЕЛОВЕК   строка на правило, колонки видны глазом, правка — одна строка,
#             diff показывает ровно изменённое правило, а не переформатированный
#             блок; ни одной скобки, которую надо закрыть.
#   МАШИНА    читается `awk -F'\t'` без разбора, без библиотек и БЕЗ ДВОИЧНОГО
#             `bootstrap/flang` — сторож работает в дереве, где двоичный не
#             собран (33 МБ C, 5–6 минут сборки). JSON потребовал бы python3
#             или flang, а сторож, которого нельзя позвать, не сторожит.
#   ДЕРЕВО    тот же вид, что у соседних ведомостей: flang/proof/УМЕНИЯ.tsv,
#             scripts/no-comments-debt.tsv, scripts/hand-written-lists-ledger.tsv.
#
# ОТПЕЧАТОК ЛЕЖИТ ОТДЕЛЬНО — flang/proof/ПРАВИЛА-ВЫВОДА.отпечаток. Внутри файла
# он стоять не может: отпечаток себя же не сходится никогда. Запись, сославшаяся
# на ведомость, ссылается на это число (ADR-0022 §8А, п. 5).
#
# ── КОЛОНКИ, ДВЕНАДЦАТЬ, РАЗДЕЛИТЕЛЬ — ТАБУЛЯЦИЯ ────────────────────────────
#  1 имя           короткое имя правила; ЕДИНСТВЕННОЕ в ведомости. Имена пяти
#                  запретов взяты у ADR-0022 §3 знак в знак (Н✗ П✗ С✗ С✗✗ Ч✗).
#  2 семейство     Н Кон П Пред О Д С СС В Ч Разв Т Р — тринадцать, список закрыт.
#                  ADR зовёт буквой «К» ДВА семейства (конечность и развёртку);
#                  здесь они разведены на «Кон» и «Разв», иначе имя не единственно.
#  3 вид           правило | запрет
#  4 правило_ядра  имя, которое ядро кладёт в поле `rule` («Принято правилом»,
#                  proof-kernel.flang:5519). Несколько имён — через «|».
#                  «—» значит «в поле `rule` не попадает вовсе»: так у семейства
#                  развёртки, чьи имена едут в «развёрнуто», а не в `rule`.
#  5 посылки       ПОДВЫВОДЫ, и только они: «1) …; 2) …». «—» — ни одного.
#                  Условие на окружение Γ и на форму терма посылкой НЕ считается
#                  и стоит в колонке 7: у стрелки это не вход, а место, откуда
#                  её берут. От этого разделения зависит счёт входов (С-3).
#  6 заключение    Γ ⊢ … ; у запрета — что ИМЕННО не выводится.
#  7 побочные      условия на Γ и на форму. «—» — ни одного.
#  8 категорно     вторая нотация. На КАЖДУЮ посылку i обязана стоять ссылка
#                  ⟨i⟩ — там, где эта посылка входит в стрелку. Ссылок ровно
#                  столько же, сколько посылок: это и сверяет сторож С-3.
#  9 конструкции   через «+», ТОЛЬКО из закрытых девяти: объект, стрелка,
#                  произведение, копроизведение, экспонента, начальный,
#                  конечный, подобъект, начальная-алгебра.
# 10 входов        число посылок цифрой. Третий свидетель к колонкам 5 и 8.
# 11 опора         proof-kernel.flang:СТРОКА «Имя функции» — место, где ядро
#                  ЭТО и делает. Сторож С-1 требует, чтобы функция с таким
#                  именем стояла в ядре на этой строке.
# 12 сверено       код | код-шире | код-строже | код-уже | нет-в-ADR | нет-в-коде
#                  код        — ADR §3 и ядро говорят одно;
#                  код-шире   — ядро выводит БОЛЬШЕ, чем сказано в ADR §3;
#                  код-строже — ядро требует условий, которых ADR §3 не называет;
#                  код-уже    — ADR §3 обещает больше, чем ядро умеет;
#                  нет-в-ADR  — правило есть в ядре, в ADR §3 его нет вовсе;
#                  нет-в-коде — обещано текстом отказа, ядром не выполняется.
#
# ── ЧЕГО В ВЕДОМОСТИ НЕТ И ПОЧЕМУ ───────────────────────────────────────────
# «Тождество после переписки допущением» (55 мест на dev) сюда не входит: ADR-0022
# §4.3 п. 4 показывает, что стрелкой оно не выражается — это нормализация, а
# `плюс` на `число` в IEEE-754 не ассоциативен, значит моноида нет.
# «К↑ деструктор» не входит: слова «деструктор» в ядре нет вовсе (ADR §3.8).
#
# ── СЕМЕЙСТВО Р, ЗАВЕДЕНО 2026-09-09 ────────────────────────────────────────
# Первые одиннадцать семейств говорят, из чего собрано ЗАКЛЮЧЕНИЕ: неотрицательно,
# ограничено, упорядочено. Семейство Р говорит другое — откуда берётся ПОСЫЛКА:
# охрана цели, условие внутри цели, дизъюнкция в известном, пустота разбираемого,
# зеркальная запись порядка. Без него ведомость описывала половину работы ядра:
# восемь типовых законов закрывают 51 место корпуса, а семь законов Р — ещё 25,
# и без этих 25 доля упирается ниже порога (docs/road-to-one-hundred-measured.md).
# Имена в колонке «правило_ядра» у семейства Р — те, что ядро уже кладёт в поле
# `rule`: «разбор цели по условию», «разбор случаев по внутреннему условию цели»,
# «разбор случаев по дизъюнкции в допущении». До 9 сентября 2026 ведомость их не
# называла ни разу, хотя ядро их ставит, а закрытый список сверщика их знает.
#
# ── СЕМЕЙСТВО Пред, ЗАВЕДЕНО 2026-09-09 (ADR-0025, задача 6202, проект 6202 §2.4) ──
# Потолок точного типа перестаёт быть свойством типа и становится ОБЯЗАТЕЛЬСТВОМ,
# которое лежит на зовущем. Суждение «Т : предст» — «значение Т помещается в
# представление [−К_предст, К_предст]», К_предст = 2⁵³−1 — постоянная
# ПРЕДСТАВЛЕНИЯ, а не типа. Пред1 даёт это суждение не от имени типа, а от
# обязательства входа (строка записи `обязательство вход «Т» … на зовущем»),
# и П3 берёт его ПОСЫЛКОЙ ⟨1⟩: у П3 колонка «посылки» перестала быть «—».
# В поле `rule` имя Пред1 не попадает — шаг едет блоком «вывод», как Разв.
# Порядок «сверщик раньше ядра, имя раньше смысла»: сверщик на C уже требует
# посылку (6202-И1); ядро до 6202-И3 выводит П3 без неё — потому у П3
# «сверено» = код-шире.
#имя	семейство	вид	правило_ядра	посылки	заключение	побочные	категорно	конструкции	входов	опора	сверено
Н1	Н	правило	неотрицательность по построению	—	Γ ⊢ Т : неотр	Т — литерал-число не меньше нуля; литерал спрашивается ПЕРВЫМ, до допущений — переставь, и подложенное допущение сделало бы неотрицательным литерал −1	лист вывода: стрелка из конечного объекта 1 → Неотр	конечный+подобъект+стрелка	0	proof-kernel.flang:2309 «Литерал неотрицателен»	код
Н2	Н	правило	неотрицательность по построению	—	Γ ⊢ Т : неотр	в Γ стоит допущение «Т не меньше 0», сличаемое знак в знак	проекция произведения Γ → Неотр: посылка берётся из окружения, а не выводится	произведение+подобъект	0	proof-kernel.flang:2316 «Есть известное»	код
Н3	Н	правило	неотрицательность по построению	—	Γ ⊢ Т : неотр	Т — имя, объявленное типом с дном («неотрицательное», «вес»); ядро сливает объявления и допущения в ОДИН список, отчего Н2 и Н3 в коде — один и тот же случай разбора, различный лишь источником	имя — проекция произведения доводов, тип — подобъект Нат ↪ число	подобъект+произведение	0	proof-kernel.flang:5890 «Известное снизу»	код
Н4	Н	правило	неотрицательность по построению	—	Γ ⊢ Т : неотр	Т — встроенная форма, имя из закрытого списка |длина|length|код символа|charCode|	встроенная стрелка Список A → Нат: кодомен уже есть подобъект	стрелка+подобъект	0	proof-kernel.flang:2554 «Неотрицательная форма»	код
Н5	Н	правило	неотрицательность по построению	1) Л : неотр; 2) П : неотр	Γ ⊢ Л плюс П : неотр	—	«плюс» ПОДНИМАЕТСЯ на подобъект: ⁺ : Неотр×Неотр → Неотр, где левый вход даёт ⟨1⟩, правый ⟨2⟩, и i∘⁺ = плюс∘(i×i)	подобъект+произведение+стрелка	2	proof-kernel.flang:2325 «Обе неотрицательны»	код
Н6	Н	правило	неотрицательность по построению	1) А : неотр; 2) Б : неотр	Γ ⊢ (если У то А иначе Б) : неотр	—	копара [⟨1⟩,⟨2⟩] : Γ×У + Γ×¬У → Неотр	копроизведение+подобъект	2	proof-kernel.flang:2664 «Неотрицательно», случай "if"	код
Н7	Н	правило	неотрицательность по построению	1) начало : неотр; 2) тело шага : неотр при неотрицательном накопителе	Γ ⊢ (свёртка Л начиная с Н шагом Ш) : неотр	имена накопителя и элемента непусты и различны; известное о пересвязанных именах вычёркивается («Снаружи свёртки»); список «целые» внутрь свёртки не едет вовсе	катаморфизм в Неотр: ⟨1⟩ — база алгебры, ⟨2⟩ — её шаг	начальная-алгебра+подобъект	2	proof-kernel.flang:2590 «Свёртка неотрицательна»	код
Н8	Н	правило	неотрицательность по построению	1) оба сомножителя в отрезке [0,кон]; 2) ЛИБО один сомножитель в (0,кон], а другой : неотр	Γ ⊢ Л умножить на П : неотр	строгую положительность не даёт ни один объявленный тип (ноль лежит и в «неотрицательное») — только названный факт «терм больше К» при К не меньше нуля; второй способ ищется в обеих позициях	«умножить» НЕ поднимается на Неотр×Неотр: 0·∞ = не число. Поднимается ровно двумя стрелками — ⟨1⟩ на [0,кон]×[0,кон] → Неотр и ⟨2⟩ на (0,кон]×Неотр → Неотр	подобъект+произведение+стрелка	2	proof-kernel.flang:2516 «Умножение неотрицательно»	код
Н9	Н	правило	неотрицательность по построению	1) Т : кон	Γ ⊢ Т умножить на Т : неотр	обе стороны умножения — один терм знак в знак («Одинаковы»)	диагональ Δ : Кон → Кон×Кон, затем «умножить»; конечность даёт ⟨1⟩, и точное е·е неотрицательно у всякого конечного е	произведение+подобъект	1	proof-kernel.flang:2506 «Квадрат конечного»	код
Н10	Н	правило	неотрицательность по построению	1) Т : неотр	Γ ⊢ Т остаток от Д : неотр	Т — конечное целое («Конечное целое»: литерал, имя точного типа, выбор, остаток — без «плюс» и «умножить»); Д — ненулевой целый литерал. ADR §3.1 требует лишь целости, ядро требует конечности вместе с ней	стрелка Нат×Пол → Нат, левый вход даёт ⟨1⟩	стрелка+произведение+подобъект	1	proof-kernel.flang:2532 «Остаток неотрицателен»	код-строже
Н11	Н	правило	неотрицательность по построению	1) тело КАЖДОЙ ветви разбора : неотр	Γ ⊢ (разбор …) : неотр	пустой список случаев — отказ; имена образца вычёркивают известное о пересвязанных именах («Снаружи образца»)	катаморфизм: копара по всем инъекциям начальной алгебры, ⟨1⟩ стоит на каждой инъекции	начальная-алгебра+копроизведение+подобъект	1	proof-kernel.flang:2624 «Разбор неотрицателен»	нет-в-ADR
Н✗	Н	запрет	неотрицательность по построению	—	Γ ⊢ Л минус П : неотр НЕ выводится	форма «Л минус П» сверху — и отказ; в коде запрет стоит отсутствием случая, а не проверкой	«минус» не поднимается на подобъект Неотр: 2 минус 3 отрицательно уже на натуральных, стрелки Неотр×Неотр → Неотр над «минус» нет	подобъект+стрелка	0	proof-kernel.flang:2664 «Неотрицательно», отсутствие случая "sub"	код
Кон1	Кон	правило	неотрицательность по построению|ограниченность точным потолком по построению|порядок по построению|строгий порядок по построению	—	Γ ⊢ Т : кон	в Γ стоит допущение «Т не больше ⟨конечный литерал⟩»	проекция окружения в подобъект Кон ↪ число	произведение+подобъект	0	proof-kernel.flang:1112 «Это конечность терма»	код
Кон2	Кон	правило	неотрицательность по построению|ограниченность точным потолком по построению|порядок по построению|строгий порядок по построению	—	Γ ⊢ Т : кон	у цели стоит оговорка «не ((Т минус Т) равен 0) или Ц» — приписка «пока это число»; обе стороны разности обязаны быть ОДНИМ термом знак в знак, иначе оговорка говорит о равенстве а и б, а не о конечности	Кон ↪ число задан уравнением Т−Т = 0, то есть выравнивателем пары стрелок Т↦Т−Т и Т↦0	подобъект+объект+стрелка	0	proof-kernel.flang:1152 «Конечное оговоркой»	код
Кон3	Кон	правило	неотрицательность по построению|ограниченность точным потолком по построению|порядок по построению|строгий порядок по построению	—	Γ ⊢ Т : кон	у цели стоит охрана «если ((Т минус Т) равен 0) то Ц иначе да»: половину «охрана ложна» закрывает литерал «да», а в половине «охрана истинна» охрана лежит допущением; те же стороны знак в знак	тот же выравниватель, взятый через копроизведение ветвей охраны	подобъект+копроизведение+стрелка	0	proof-kernel.flang:1228 «Конечное охраной»	код
