# ЧТО: закрытый список правил печати в C — строка на правило: имя, семейство, узел, части, якорь, сличение, доверие. ЗАЧЕМ: один источник для печатника (flang/self/emit-c.flang), протокола перевода и сличителя — имя правила вне списка сличитель отвергает. КТО ЧИТАЕТ: flang/translation/run.sh (awk по первому столбцу, строки с «#» и заголовок «имя» пропускает) сверяет список с RULES[] в flang/translation/matcher.c; сам matcher.c держит тот же список литералом и файл не читает.
# Основание: ADR-0030 «Печатник доказывает КАЖДЫЙ СВОЙ ЗАПУСК, а не себя целиком», задача 1401.
# Заведён 14 сентября 2026.
#
# ЧТО ЭТО. Каждая строка протокола перевода `узел <вид> строка L столбец C правило «имя»`
# называет правило из этого списка. Сличитель (matcher.c) держит тот же список литералом
# `RULES[]` и ОТВЕРГАЕТ имя, которого здесь нет; сходство двух списков стережёт run.sh.
# Печатник (flang/self/emit-c.flang) пишет имена в вызовах «Открыть узел» — по одному на
# место печати; место без имени в этом списке в протокол не попадает и считается
# непокрытым.
#
# ЗАЧЕМ TSV — по тому же доводу, что у flang/proof/tables/inference-rules.tsv: строка на правило,
# читается awk без двоичного, diff показывает ровно изменённое правило.
#
# КОЛОНКИ (разделитель — табуляция, семь полей):
#  1 имя        имя правила, единственное в списке; оно же стоит в протоколе
#  2 семейство  выражение | число | хвост | функция | модуль — что печатает правило
#  3 узел       вид узла исходника (kind разбора) или «—» у правил без узла
#  4 части      метки частей в порядке текста; «гашение» сличитель ставит ПЕРЕД предыдущим
#               ребёнком (см. заголовок «протокол перевода» в emit-c.flang); N — число строк
#  5 якорь      что сличитель читает в исходнике на месте узла (строка L, столбец C)
#  6 сличение   что сличитель переигрывает по тексту C — ровно то, что делает matcher.c
#  7 доверие    что НЕ переигрывается и принимается на слово — названо, а не умолчано;
#               правило, у которого сличения нет вовсе, называется в итоге «НЕ ПРОВЕРЕНО»
#
# ── выражения ───────────────────────────────────────────────────────────────
# ── выражения ───────────────────────────────────────────────────────────────
имя	семейство	узел	части	якорь	сличение	доверие
литерал	выражение	literal	литерал:0	число — цифры; да/нет/ничто — слово; у признака, который разбор ставит, сводя связку к «если», — слово связки («или» — да, «и» — нет, «не» — любой); строка — кавычка	fl_number(N) против числа исходника; fl_flag/fl_nothing против слова; строка — константа <модуль>_text_K в шапке модуля: её байты, число байт и число знаков против литерала (экранирование \n \t \r \\ \")	литералы иных видов и строки с иными экранированиями
переменная	выражение	var	—	основа имени (общий приставок не короче имени без двух последних знаков: имя склоняется) или «имя»	значение — имя C или args[N] (довод у двери)	что имя C связано именно с этим именем flang
поле	выражение	field	чтение:2	точка	fl_value T = fl_nothing(); FL_TRY(fl_field_get(ctx, <значение цели>, "поле", &T, error)); значение узла — T	—
пусть	выражение	let	объявление:1, гашение:0..N	слово «пусть»	const fl_value X = <значение>; /* пусть «имя» */; гашение — (void)X;; значение узла — значение тела	выбор имени X
признак	выражение	(узел условия)	проверка:2	—	bool F = false; FL_TRY(<помощник>(ctx, <значение>, &F, error)); помощник ∈ {fl_cond, fl_keep}	—
положить	выражение	(узел ветви)	присвоение:1	—	<цель> = <значение ребёнка>;	—
если	выражение	if	шапка:2, иначе:1, конец:1	«если» или «и»/«или»/«не», которые разбор сводит к «если»	ровно три ребёнка: признак и две ветви «положить» в значение узла; fl_value T = fl_nothing(); if (<признак>) {; } else {; }	—
разбор-значением	выражение	match	объявление:1	слово «разбор»	один ребёнок; fl_value T = fl_nothing();	—
разбор	выражение	match	хвост:1|3	слово «разбор»	НЕ переигрывается: сличается только его текст в составе файла	всё правило; узлы названы в итоге числом
случай	выражение	(узел тела ветви)	шапка:1, связывание:0..N, гашение:0..N	—	НЕ переигрывается: сличается только его текст в составе файла	всё правило; узлы названы в итоге числом
вызов	выражение	call	вызов:2	«Имя»; у вызова через значение-функцию («применить N») — место первого довода	доводов столько, сколько параметров в строке «принимает» функции этого исходника; fl_value T = fl_nothing(); FL_TRY(<ид>(ctx, <доводы>, &T, error)); <ид> — из головы блока «функция «Имя» идентификатор <ид>»; доводы — значения детей по порядку	число доводов у функций ввезённых и порождённых
