# ПРОБЫ ВОРОТ НЕДОКАЗАННОГО: КЛЮЧ КОМАНДЫ, СРЕДА, `.flangrc`
# (ADR-0045; docs/guide/settings.ru.md, раздел «Что делать с недоказанным»).
#
# Поля: программа, путь (run|io), строка для `.flangrc`, значение FLANG_UNPROVEN,
# ключи команды, ожидаемый код возврата, слово, которое обязано стоять в выводе.
# «—» в любом поле значит «ничего»: ни файла, ни переменной, ни ключей.
#
# СЛОВО ПРОВЕРЯЕТСЯ ВМЕСТЕ С КОДОМ НАРОЧНО, и здесь это не перестраховка, а
# предмет задачи: «работает» и «работает, назвав в ответе тот ключ, который
# человек набрал» — разные исходы с ОДНИМ кодом 0. Строка «--trust» в ответе на
# «--trust» и есть то, ради чего задача заведена; проверять её кодом нечем.
#
# ЧТО ЗДЕСЬ СТЕРЕЖЁТСЯ ЦЕЛИКОМ — СТАРШИНСТВО:
#   ключ команды → FLANG_UNPROVEN → .flangrc проекта → .flangrc дома → умолчание.
# Пара строк «недоказанное = разрешение» + «--unproven refuse» держит верхнюю
# ступень (ключ бьёт файл), пара «недоказанное = разрешение» + среда «refuse» —
# вторую. Первая строка таблицы держит УМОЛЧАНИЕ: без файла, без переменной и
# без ключа ответ обязан остаться тем же, что в 0.7.21, знак в знак, — иначе
# выпуск сломает людей второй раз подряд.
#
# ДВЕ СТРОКИ ПРО ПИСЬМО: «--unproven refuse» отвечает хвостом «--trust», а
# «--недоказанное отказ» — хвостом «--на-веру». Ключ, которого нельзя повторить,
# не переключив раскладку, и есть беда, с которой задача началась.
#
# СТРОКА «чепуха = что угодно» — обещание совместимости: незнакомый ключ файла
# по-прежнему пропускается молча (docs/guide/settings.ru.md), и ворота при этом
# остаются в умолчании. А вот НЕГОДНОЕ ЗНАЧЕНИЕ ЗНАКОМОГО ключа молчанием не
# проходит: «недоказанное = разрешено» — код 2 и слова, потому что молчание тут
# значит «ворота закрыты», и человек узнал бы об этом кодом 3 в чужой сборке.
программа	путь	файл	среда	ключи	код	слово
недоказанная.flang	run	—	—	—	3	— запуск только по явному согласию: --на-веру
недоказанная.flang	run	—	—	--trust	0	на веру: доказанность не считалась — запуск по ключу --trust
недоказанная.flang	run	—	—	--на-веру	0	на веру: доказанность не считалась — запуск по ключу --на-веру
недоказанная.flang	run	недоказанное = разрешение	—	—	0	запуск по настройке «недоказанное = разрешение»
недоказанная.flang	run	недоказанное = разрешение	—	--unproven refuse	3	— запуск только по явному согласию: --trust
недоказанная.flang	run	недоказанное = разрешение	—	--недоказанное отказ	3	— запуск только по явному согласию: --на-веру
недоказанная.flang	run	недоказанное = предупреждение	—	—	0	запуск по настройке «недоказанное = предупреждение»
недоказанная.flang	run	недоказанное = разрешено	—	—	2	такого значения у «недоказанное» нет
недоказанная.flang	run	недоказанное = allow	—	—	0	запуск по настройке «недоказанное = allow»
недоказанная.flang	run	недоказанное = warn	—	—	0	запуск по настройке «недоказанное = warn»
недоказанная.flang	run	—	allow	—	0	запуск по переменной среды FLANG_UNPROVEN=allow
недоказанная.flang	run	недоказанное = разрешение	refuse	—	3	— запуск только по явному согласию: --trust
недоказанная.flang	run	—	да	—	2	такого значения у «недоказанное» нет
недоказанная.flang	run	чепуха = что угодно	—	—	3	— запуск только по явному согласию: --на-веру
доказанная.flang	run	—	—	—	0	доказано: утверждений 1
доказанная.flang	run	недоказанное = предупреждение	—	—	0	доказано: утверждений 1
доказанная.flang	run	недоказанное = разрешение	—	—	0	на веру: доказанность не считалась
план-недоказан.flang	io	—	—	—	3	— запуск только по явному согласию: --на-веру
план-недоказан.flang	io	—	—	--trust	0	на веру: доказанность не считалась — запуск по ключу --trust
план-недоказан.flang	io	недоказанное = разрешение	—	—	0	запуск по настройке «недоказанное = разрешение»
план-недоказан.flang	io	недоказанное = предупреждение	—	—	0	запуск по настройке «недоказанное = предупреждение»
план-недоказан.flang	io	недоказанное = разрешено	—	—	2	такого значения у «недоказанное» нет
